lname,fname,team,pos,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Frazier,Todd,CIN,3B,157,619,82,158,43,1,35,89,13,8,44,137,1,7,7,.255,.309,.498,.807
Arenado,Nolan,COL,3B,157,616,97,177,43,4,42,130,2,5,34,110,0,11,4,.287,.323,.575,.898
Gordon,Dee,MIA,2B,145,615,88,205,24,8,4,46,58,20,25,91,6,5,2,.333,.359,.418,.777
Blackmon,Charlie,COL,OF,157,614,93,176,31,9,17,58,43,13,46,112,5,4,13,.287,.347,.450,.797
Markakis,Nick,ATL,OF,156,612,73,181,38,1,3,53,2,1,70,83,0,1,3,.296,.370,.376,.746
Pollock,A.J.,ARI,OF,157,609,111,192,39,6,20,76,39,7,53,89,0,9,2,.315,.367,.498,.865
Kemp,Matt,SD,OF,154,596,80,158,31,3,23,100,12,2,39,147,0,8,5,.265,.312,.443,.755
Fowler,Dexter,CHC,OF,156,596,102,149,29,8,17,46,20,7,84,154,2,3,5,.250,.346,.411,.757
Polanco,Gregory,PIT,OF,153,593,83,152,35,6,9,52,27,10,55,121,1,2,1,.256,.320,.381,.701
Phillips,Brandon,CIN,2B,148,588,69,173,19,2,12,70,23,3,27,68,1,3,4,.294,.328,.395,.723
Rizzo,Anthony,CHC,1B,160,586,94,163,38,3,31,101,17,6,78,105,0,7,30,.278,.387,.512,.899
Desmond,Ian,WAS,SS,156,583,69,136,27,2,19,62,13,5,45,187,6,4,3,.233,.290,.384,.674
Granderson,Curtis,NYM,OF,157,580,98,150,33,2,26,70,11,6,91,151,0,4,7,.259,.364,.457,.821
Bruce,Jay,CIN,OF,157,580,72,131,35,4,26,87,9,5,58,145,0,9,2,.226,.294,.434,.728
Peralta,Jhonny,STL,SS,155,579,64,159,26,1,17,71,1,4,50,111,0,6,5,.275,.334,.411,.745
Marte,Starling,PIT,OF,153,579,84,166,30,2,19,81,30,10,27,123,3,5,19,.287,.337,.444,.781
Carpenter,Matt,STL,3B,154,574,101,156,44,3,28,84,4,3,81,151,0,4,6,.272,.365,.505,.870
Duffy,Matt,SF,3B,149,573,77,169,28,6,12,77,12,0,30,96,2,2,5,.295,.334,.428,.762
